날짜,시가,고가,저가,종가,거래량
2017-06-19,148000,156000,148000,155000,375439
2017-06-20,157000,157500,154000,156000,233720
2017-06-21,155500,158000,152000,158000,265175
2017-06-22,159500,164000,158500,164000,541036
2017-06-23,165000,165000,161500,164500,307151
2017-06-26,166000,172500,165000,172500,607350
2017-06-27,173500,176000,169000,176000,591129
2017-06-28,173500,175000,169000,170500,497289
2017-06-29,172500,172500,166000,168000,276576
2017-06-30,165500,171500,165000,171500,257586
2017-07-03,172000,173000,168500,170000,206252
2017-07-04,168500,171500,166500,168500,263754
2017-07-05,168000,179000,168000,177000,516326
2017-07-06,177000,179000,174500,177000,388257
2017-07-07,175500,179500,175000,177000,326829
2017-07-10,178000,179500,174500,176000,278213
2017-07-11,176000,177000,174000,176500,190984
2017-07-12,175500,177500,170500,172500,257124
2017-07-13,174000,181500,173500,181000,557722
2017-07-14,181500,184000,179000,181000,263822
2017-07-17,183000,187000,182500,187000,335737
2017-07-18,188000,191500,186000,189000,347937
2017-07-19,188000,188000,177000,178000,644301
2017-07-20,179500,179500,173500,177500,404126
2017-07-21,176500,181000,176500,181000,265384
2017-07-24,181000,182000,178000,180000,213514
2017-07-25,180000,183500,179000,182000,247297
2017-07-26,182500,182500,170500,171500,482123
2017-07-27,170000,176000,167000,173000,558227
2017-07-28,175500,175500,164000,166000,781325
2017-07-31,163500,169500,163500,168500,330394
2017-08-01,168500,173000,166500,172000,248124
2017-08-02,174500,180000,172500,179500,364917
2017-08-03,180000,180000,173500,175500,298824
2017-08-04,178500,182000,178000,181500,404492
2017-08-07,184000,184500,180500,181000,267294
2017-08-08,181500,183000,176500,177500,225402
2017-08-09,176500,177500,169500,170500,309685
2017-08-10,169000,173000,167000,171000,311759
2017-08-11,167500,170500,166000,169000,384140
2017-08-14,171500,176500,171000,176500,218942
2017-08-16,180000,180500,177500,178500,327605
2017-08-17,177500,178500,176000,178000,156100
2017-08-18,176000,178000,173000,176500,240057
2017-08-21,176500,181500,176000,178500,268510
2017-08-22,179500,186000,179000,185500,464280
2017-08-23,188000,189000,185500,189000,424767
2017-08-24,188500,192000,187500,191000,465563
2017-08-25,192000,193000,188000,191000,278100
2017-08-28,190500,190500,187000,187000,271014
2017-08-29,184000,186500,183000,185500,319674
2017-08-30,186500,192500,186500,192500,421849
2017-08-31,194000,197000,191500,196500,412694
2017-09-01,198000,198000,193000,197000,329443
2017-09-04,191000,196000,191000,193000,349161
2017-09-05,193500,194000,189000,190500,293888
2017-09-06,192000,194000,191000,192500,266629
2017-09-07,192000,196000,192000,193000,255968
2017-09-08,193500,196000,191500,192500,207241
2017-09-11,194000,203000,193500,202500,618610
2017-09-12,204000,204500,199000,200000,397674
