날짜,시가,고가,저가,종가,거래량
2017-06-12,56500,56900,55800,56300,870522
2017-06-13,56500,56700,55200,55600,562317
2017-06-14,55600,56400,55200,55700,1062118
2017-06-15,55200,55900,54200,54900,714613
2017-06-16,54900,55500,54400,55500,938141
2017-06-19,55000,55800,55000,55600,570138
2017-06-20,55100,55900,55000,55400,628465
2017-06-21,55400,55400,53700,54200,1257868
2017-06-22,54000,55000,53800,55000,891609
2017-06-23,55200,55900,55100,55200,981702
2017-06-26,55000,55500,54500,54900,483785
2017-06-27,55000,55700,54800,54900,702481
2017-06-28,55600,56400,55100,56300,2091508
2017-06-29,56700,58600,56600,57800,1204537
2017-06-30,57800,58100,57400,57700,924570
2017-07-03,58100,58100,57100,57800,826705
2017-07-04,58200,58700,57500,57800,843615
2017-07-05,57700,57800,57000,57300,812314
2017-07-06,57300,58300,57300,58100,749870
2017-07-07,56800,57500,56500,56700,9568439
2017-07-10,57000,57700,56900,57400,1170186
2017-07-11,57500,57500,57000,57000,1025680
2017-07-12,56800,57400,56700,57200,1050342
2017-07-13,57100,57300,56500,56600,1131594
2017-07-14,56800,57700,56800,57300,1024307
2017-07-17,57400,57500,56900,57400,702091
2017-07-18,57100,57500,57000,57400,973501
2017-07-19,57500,57700,56000,56600,1260308
2017-07-20,56800,57500,56700,57400,760455
2017-07-21,58700,59800,58200,59800,2680425
2017-07-24,59900,60200,59300,60200,1256246
2017-07-25,60500,60500,59400,59600,779498
2017-07-26,60300,60300,59500,60100,895907
2017-07-27,60100,60100,58600,59700,873595
2017-07-28,59000,59700,58500,58600,802147
2017-07-31,58100,59400,57900,59400,759828
2017-08-01,59400,60000,58700,59800,917155
2017-08-02,60300,60300,58000,58200,1415480
2017-08-03,57900,58200,56500,57300,1711986
2017-08-04,58500,58500,57200,57700,1059392
2017-08-07,58000,59200,57600,59000,919186
2017-08-08,58800,59200,58300,58700,513789
2017-08-09,58200,58600,57500,58000,871713
2017-08-10,57300,58000,57100,58000,876336
2017-08-11,57000,57100,55600,56400,1525844
2017-08-14,56400,57400,56200,56800,798994
2017-08-16,58400,58500,57000,57300,783822
2017-08-17,57400,57500,56700,57000,599562
2017-08-18,56100,57000,56100,56500,448520
2017-08-21,56500,56800,55700,56200,721598
2017-08-22,56000,56500,55700,56100,603342
2017-08-23,56300,56600,56000,56600,656173
2017-08-24,56100,56600,55500,55600,958071
2017-08-25,55600,57200,55600,57200,714261
2017-08-28,56600,57100,56100,57100,558313
2017-08-29,56500,56800,55600,56400,658208
2017-08-30,56600,57000,56400,56600,575658
2017-08-31,56200,56300,55000,55400,1195420
2017-09-01,55400,55800,54800,54900,822388
2017-09-04,53800,54900,53700,53900,774741
2017-09-05,54000,54200,50800,51100,2245667
2017-09-06,50600,51500,49350,51100,2645919
2017-09-07,51500,52400,51500,52000,1223579
2017-09-08,52100,52200,51200,51800,935084
2017-09-11,52000,53100,51600,52800,1199315
2017-09-12,53100,53500,52800,53100,713065
2017-09-13,53100,53400,52100,52800,781050
2017-09-14,52300,53600,52000,53600,1051118
2017-09-15,53400,54000,52600,54000,856033
2017-09-18,53800,55300,53600,55000,1269190
2017-09-19,55000,56000,55000,55600,1208816
2017-09-20,55600,56100,55100,55600,1163198
2017-09-21,55200,56700,55200,56000,1018383
2017-09-22,56100,57500,56100,57100,1070024
2017-09-25,57100,57200,55100,55400,687501
2017-09-26,54700,54800,52500,54500,1267939
2017-09-27,55000,55000,53100,54100,905787
2017-09-28,54200,55400,53800,55400,882209
2017-09-29,56000,57000,55500,56100,1191108
2017-10-10,58900,59000,56900,57900,1812422
2017-10-11,57900,58400,57200,57700,1256959
2017-10-12,57700,59000,57500,58600,1426185
2017-10-13,58300,58800,57700,58000,687120
2017-10-16,57900,58500,56900,57100,735202
2017-10-17,57400,58100,56800,57300,628513
2017-10-18,56800,57300,56300,57000,619231
2017-10-19,57500,58300,56400,57300,1092797
2017-10-20,57300,57900,56500,57100,574568
2017-10-23,56900,57400,56500,57400,1222903
2017-10-24,57400,58600,56400,57700,986787
2017-10-25,58200,59400,58100,59100,1098729
2017-10-26,59500,59700,58400,58800,681306
2017-10-27,58700,59200,58000,58900,986077
2017-10-30,59200,59400,58800,59200,685318
2017-10-31,59200,59200,57800,58400,1028292
2017-11-01,57800,59200,57600,59000,1626966
2017-11-02,59400,59400,58400,59100,762432
2017-11-03,59100,60000,59100,59900,779461
2017-11-06,59700,59800,57600,57800,1187089
2017-11-07,57800,58500,57300,57900,1050957
2017-11-08,57300,57900,57100,57400,962624
2017-11-09,57500,57800,56700,57700,985018
2017-11-10,57100,57700,56800,57400,538656
2017-11-13,56900,57300,56300,56600,621838
2017-11-14,56700,57300,56700,56800,631826
2017-11-15,56500,57300,56100,57300,741804
2017-11-16,57800,58300,57400,58000,909572
2017-11-17,58400,58500,56500,56900,1201136
2017-11-20,57000,57500,56600,57100,794784
2017-11-21,57000,57100,55700,55800,716932
2017-11-22,55800,56700,55800,56200,708710
2017-11-23,56400,56900,56300,56700,572964
2017-11-24,56400,56900,56300,56700,720487
2017-11-27,57300,57900,57300,57500,983176
2017-11-28,57700,59500,57600,58300,1324758
2017-11-29,58800,59400,58400,59200,904484
2017-11-30,59900,60200,58800,59900,2284780
2017-12-01,59600,59800,58000,58300,926368
2017-12-04,59000,60000,58900,60000,927535
2017-12-05,60100,60300,59700,59900,888643
2017-12-06,60400,60400,59900,60200,835200
2017-12-07,60200,60500,59200,59200,1336522
2017-12-08,59100,60100,59100,59500,831476
2017-12-11,59200,59700,59000,59000,765995
2017-12-12,59200,59400,58300,58300,1096411
2017-12-13,58000,60900,58000,60800,1319487
2017-12-14,60800,63000,60500,61400,2709007
2017-12-15,61600,62800,61400,62600,1321839
2017-12-18,62200,62600,61700,62300,714933
2017-12-19,61900,63000,61800,62400,801714
2017-12-20,61900,63000,61000,62800,791993
2017-12-21,62900,63500,61800,61900,1016727
2017-12-22,62600,63300,62300,62300,667299
2017-12-26,63000,64000,62400,63800,926002
2017-12-27,62100,63100,61400,63000,720168
2017-12-28,63600,63600,62500,63400,617834
2018-01-02,63900,63900,62400,63100,576658
2018-01-03,62100,63500,62100,63100,684227
2018-01-04,63400,63900,62800,63000,674521
2018-01-05,63000,64400,63000,64100,718208
2018-01-08,64500,67100,64300,66600,1044425
2018-01-09,67400,67900,66400,67200,943705
2018-01-10,67000,68100,66000,66000,899922
2018-01-11,67600,68100,66600,67700,1035915
2018-01-12,69200,69200,67500,67700,926019
2018-01-15,67900,68900,67400,67600,740957
2018-01-16,67600,67900,65800,65800,992214
2018-01-17,66000,66600,65300,65400,1370204
2018-01-18,66200,67100,65500,65700,860775
2018-01-19,66100,67800,66100,67100,1002996
2018-01-22,68000,68400,65700,65700,917484
2018-01-23,65900,68600,65900,68600,899249
2018-01-24,68000,68500,67300,67500,724918
2018-01-25,67100,67900,66500,66600,836419
2018-01-26,66300,67500,66000,67400,933977
2018-01-29,67900,68300,67000,67200,784099
2018-01-30,67000,67700,66600,66900,911296
2018-01-31,66400,67500,64600,67300,1206737
2018-02-01,66000,67000,65800,66100,914632
2018-02-02,66100,66900,65300,66400,998113
2018-02-05,67000,68000,66200,67700,1414389
2018-02-06,66300,66400,63500,64200,1777390
2018-02-07,64500,65100,63000,63100,1164430
2018-02-08,63000,63400,61100,61400,1651633
2018-02-09,60200,61700,60100,61000,1374096
2018-02-12,62200,64500,61600,64300,1222428
2018-02-13,64900,65200,63400,64200,1535441
2018-02-14,64200,64900,63700,64800,755164
2018-02-19,66000,67100,65600,66800,774866
2018-02-20,66700,67000,66300,66700,742233
2018-02-21,66400,66400,65100,65500,1060667
2018-02-22,64600,65500,64300,64900,940706
